,Type of Work:,Registration Number / Date:,Title:,Copyright Claimant:,Basis of Claim:,Variant title:,Names:,Other Title:,Copyright Note:,Area Covered:,Edition:,Notes:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Description:,Application Title:,Series:,Scale:
10,['Text'],"['RE0000813279 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan67  ']","['Sanborn Map Chattonooga, Tennessee.  Vol. 1, 1967.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chattonooga, Tennessee.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
11,['Text'],"['RE0000813280 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan69  ']","['Sanborn Map Chattonooga, Tennessee.  Vol. 1, 1969.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chattonooga, Tennessee.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
12,['Text'],"['RE0000693813 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Sep66  ']","['Sanborn Map Chicago, IL.  Vol. 1, 1966.  By Sanborn Map Comapny.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chicago, IL.']","['Sanborn Map Comapny.', 'Sanborn Library, LLC']","['Chicago, IL']",[],[],[],[],[],[],[],[],[],[],[],[]
13,['Text'],"['RE0000813396 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1966-09-01  ']","['Sanborn map, Chicago, Illinois, vol. 1, 1966.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map, Chicago, Illinois, vol. 1, 1966']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
14,['Text'],"['RE0000813277 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan70  ']","['Sanborn Map Chico, California.  1970.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Chico, California.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
15,['Text'],"['RE0000813398 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1969-01-01  ']","['Sanborn map, Cleveland, OH, vol. 1A, 1969.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map, Cleveland, OH, vol. 1A, 1969']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
16,['Text'],"['RE0000693802 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan66  ']","['Sanborn Map Cleveland, Ohio.  Vol. 10, 1966.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",[],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
17,['Text'],"['RE0000693803 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan66  ']","['Sanborn Map Cleveland, Ohio.  Vol. 12A, 1966.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",[],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
18,['Text'],"['RE0000693816 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan64  ']","['Sanborn Map Cleveland, Ohio.  Vol. 13, 1964.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
19,['Text'],"['RE0000693804 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan66  ']","['Sanborn Map Cleveland, Ohio.  Vol. 13A, 1966.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",[],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
20,['Text'],"['RE0000693805 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan66  ']","['Sanborn Map Cleveland, Ohio.  Vol. 13B, 1966.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
21,['Text'],"['RE0000693817 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan64  ']","['Sanborn Map Cleveland, Ohio.  Vol. 14, 1964.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
22,['Text'],"['RE0000693806 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan66  ']","['Sanborn Map Cleveland, Ohio.  Vol. 14, 1966.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
23,['Text'],"['RE0000653046 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan68  ']","['Sanborn Map Cleveland, Ohio.  Vol. 14, 1968.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
24,['Text'],"['RE0000693818 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan64  ']","['Sanborn Map Cleveland, Ohio.  Vol. 14A, 1964.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
25,['Text'],"['RE0000653047 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan68  ']","['Sanborn Map Cleveland, Ohio.  Vol. 16, 1968.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
26,['Text'],"['RE0000653048 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan68  ']","['Sanborn Map Cleveland, Ohio.  Vol. 17, 1968.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
27,['Text'],"['RE0000693819 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan64  ']","['Sanborn Map Cleveland, Ohio.  Vol. 18, 1964.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
28,['Text'],"['RE0000653049 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan68  ']","['Sanborn Map Cleveland, Ohio.  Vol. 18, 1968.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
29,['Text'],"['RE0000693822 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan65  ']","['Sanborn Map Cleveland, Ohio.  Vol. 3A, 1965.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
30,['Text'],"['RE0000653161 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan71  ']","['Sanborn Map Cleveland, Ohio.  Vol. 3A, 1971.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
31,['Text'],"['RE0000693823 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan65  ']","['Sanborn Map Cleveland, Ohio.  Vol. 5, 1965.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
32,['Text'],"['RE0000693824 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan65  ']","['Sanborn Map Cleveland, Ohio.  Vol. 8, 1965.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cleveland, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cleveland, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
33,['Text'],"['RE0000819602 / 2000-02-11 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Aug65  ']","['Sanborn Map Clifton, NJ.  1965.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Clifton, NJ.']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC', 'Clifton, NJ']",[],[],[],[],[],[],[],[],[],[],[],[],[]
34,['Text'],"['RE0000819809 / 2000-02-11 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Apr70  ']","['Sanborn Map Clifton, NJ.  1970.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Clifton, NJ.']","['Sanborn Map Company.', 'Sanborn Library, LLC', 'Clifton, NJ']",[],[],[],[],[],[],[],[],[],[],[],[],[]
35,['Text'],"['RE0000653158 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan68  ']","['Sanborn Map Columbus, Ohio.  Vol. 5, 1968.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Columbus, Ohio.']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC']","['Columbus, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
36,['Text'],"['RE0000653159 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan68  ']","['Sanborn Map Columbus, Ohio.  Vol. 6, 1968.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Columbus, Ohio.']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC']","['Columbus, Ohio']",[],[],[],[],[],[],[],[],[],[],[],[]
37,['Text'],"['RE0000652595 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Apr65  ']","['Sanborn Map Cook County, IL (South) 1965.  Vol. 1E.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cook County, IL (South) 1965.']","['Sanborn Map Company', 'Sanborn Library, LLC']","['Cook County, IL (South) 1965']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[]
38,['Text'],"['RE0000652598 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan65  ']","['Sanborn Map Cook County, IL (South) 1965.  Vol. 2.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cook County, IL (South) 1965.']","['Sanborn Map Company', 'Sanborn Library, LLC']","['Cook County, IL (South) 1965']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[]
39,['Text'],"['RE0000652597 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Mar67  ']","['Sanborn Map Cook County, IL (South) 1967.  Vol. 1E.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cook County, IL (South) 1967.']","['Sanborn Map Company', 'Sanborn Library, LLC']","['Cook County, IL (South) 1967']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[]
40,['Text'],"['RE0000652599 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Apr67  ']","['Sanborn Map Cook County, IL (South) 1967.  Vol. 2.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cook County, IL (South) 1967.']","['Sanborn Map Company', 'Sanborn Library, LLC']","['Cook County, IL (South) 1967']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[]
41,['Text'],"['RE0000693810 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan68  ']","['Sanborn Map Cook County, IL (South)  Vol. 1W, 1968.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cook County, IL (South)']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Cook County, IL (South)']",[],[],[],[],[],[],[],[],[],[],[],[]
42,['Text'],"['RE0000819292 / 2000-02-11 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan69  ']","['Sanborn Map Corpus Christie, TX.  Vol. 1, 1969.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Corpus Christie, TX']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC', 'Corpus Christie, TX']",[],[],[],[],[],[],[],[],[],[],[],[],[]
43,['Text'],"['RE0000820553 / 2000-01-10 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan71  ']","['Sanborn Map Cortland, NY.  1971.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Cortland, NY.']","['Sanborn Map Company.', 'Sanborn Library, LLC', 'Cortland, NY']",[],[],[],[],[],[],[],[],[],[],[],[],[]
44,['Text'],"['RE0000813400 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1970-01-01  ']","['Sanborn map, Culver City, California, 1970.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map, Culver City, California, 1970']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
45,['Text'],"['RE0000804205 / 1999-04-15 ', 'Renewal registration for: *Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan67  ']","['Sanborn Map Dallas, Texas.  Vol. 3, 1967.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Dallas, Texas.']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC']","['Dallas, TX']",[],[],[],[],[],[],[],[],[],[],[],[]
46,['Text'],"['RE0000804207 / 1999-04-15 ', 'Renewal registration for: *Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan67  ']","['Sanborn Map Dallas, Texas.  Vol. 6, 1967.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Dallas, Texas.']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC']","['Dallas, TX']",[],[],[],[],[],[],[],[],[],[],[],[]
47,['Text'],"['RE0000804451 / 1999-04-15 ', 'Renewal registration for: *Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan67  ']","['Sanborn Map Dallas, Texas.  Vol. 7, 1967.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Dallas, Texas']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC']","['Dallas, Texas']",[],[],[],[],[],[],[],[],[],[],[],[]
48,['Text'],"['RE0000804834 / 1999-04-15 ', 'Renewal registration for: *Not reg.; addendum submitted under PL 102-307 / *PUB 1Aug68  ']","['Sanborn Map Dallas, Texas.  Vol. 9, 1968.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Dallas, Texas.']","['Sanborn Map Company', 'Sanborn Library, LLC']","['Dallas, Texas']",[],[],[],[],[],[],[],[],[],[],[],[]
49,['Text'],"['RE0000813274 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan65  ']","['Sanborn Map Dayton, Ohio.  Vol. 6-8, 1965.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Dayton, Ohio.']","['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[],[],[],[],[],[],[],[],[],[]
50,['Text'],"['RE0000819811 / 2000-02-11 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Nov69  ']","['Sanborn Map Daytona Beach, FL.  Vol. 1, 1969.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Daytona Beach, FL.']","['Sanborn Map Company.', 'Sanborn Library, LLC', 'Daytona Beach, FL']",[],[],[],[],[],[],[],[],[],[],[],[],[]
51,['Text'],"['RE0000821134 / 2000-02-11 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jun71  ']","['Sanborn Map Dover, NH.  1971.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Dover, NH.']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC', 'Dover, NH']",[],[],[],[],[],[],[],[],[],[],[],[],[]
52,['Text'],"['RE0000693807 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Aug66  ']","['Sanborn Map East St. Louis, IL.  Vol. 1, 1966.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map East St. Louis, IL.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['East St. Louis, IL']",[],[],[],[],[],[],[],[],[],[],[],[]
53,['Text'],"['RE0000693809 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1May68  ']","['Sanborn Map East St. Louis, IL.  Vol. 1, 1968.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map East St. Louis, IL.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['East St. Louis, IL']",[],[],[],[],[],[],[],[],[],[],[],[]
54,['Text'],"['RE0000693808 / 1999-10-15 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Aug66  ']","['Sanborn Map East St. Louis, IL.  Vol. 3, 1966.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map East St. Louis, IL.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['East St. Louis, IL']",[],[],[],[],[],[],[],[],[],[],[],[]
55,['Text'],"['RE0000653050 / 1999-07-06 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jul68  ']","['Sanborn Map Elizabeth, NJ.  Vol. 3, 1968.  By Sanborn Map Company.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Elizabeth, NJ.']","['Sanborn Map Company.', 'Sanborn Library, LLC']","['Elizabeth,NJ']",[],[],[],[],[],[],[],[],[],[],[],[]
56,['Text'],"['RE0000804580 / 1999-05-20 ', 'Renewal registration for: *Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan66  ']","['Sanborn Map Erie, Pennsylvania.  Vol. 2, 1966.  By Sanborn Map Company, Inc.']","['Sanborn Library, LLC (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Erie, Pennsylvania.']","['Sanborn Map Company, Inc.', 'Sanborn Library, LLC']","['Erie, Pennsylvania']",[],[],[],[],[],[],[],[],[],[],[],[]
