,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Edition:,Description:,Copyright Claimant:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Basis of Claim:,Copyright Note:,Variant title:,Other Title:,Names:,Notes:,Date in Notice:,Imprint:,Scale:,Series:,Copyright Notice:,Cancelled Registration Number:
14,['Map'],['VA0000954902 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 4, 1992; Sanborn fire insurance map.']","['Boston, Mass. : vol. 4.']",['Boston'],['Rev. Oct. 1992.'],['4 p.'],"['Sanborn Library, LLC']",['1992'],['1992-10-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 4.']","['Sanborn map, Boston, Mass., vol. 4, 1992', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
15,['Map'],['VA0000996797 / 2000-01-10 '],"['Sanborn map, Boston, MA, vol. 4, 1988.']","['Boston, Mass. : vol. 4.']",['Boston'],['Rev. Oct. 1988.'],['4 p.'],"['Sanborn Map Company, Inc.']",['1988'],['1988-10-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 4.']","['Sanborn map, Boston, MA, vol. 4, 1988.']","['Sanborn Map Company, Inc.']",['Maps.'],[],[],[],[],[],[]
16,['Map'],['VA0000954884 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 5E, 1996; Sanborn fire insurance map.']","['Boston, Mass. : vol. 5-E.']",['Boston'],['Rev. Apr. 1996.'],['4 p.'],"['Sanborn Library, LLC']",['1996'],['1996-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 5-E.']","['Sanborn map, Boston, Mass., vol. 5E, 1996', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
17,['Map'],['VA0000954883 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 5E, 1995; Sanborn fire insurance map.']","['Boston, Mass. : vol. 5-E.']",['Boston'],['Rev. Apr. 1995.'],['4 p.'],"['Sanborn Library, LLC']",['1995'],['1995-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 5-E.']","['Sanborn map, Boston, Mass., vol. 5E, 1995', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
18,['Map'],['VA0000954888 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 5W, 1996; Sanborn fire insurance map.']","['Boston, Mass. : vol. 5-W.']",['Boston'],['Rev. Apr. 1996.'],['4 p.'],"['Sanborn Library, LLC']",['1996'],['1996-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 5-W.']","['Sanborn map, Boston, Mass., vol. 5W, 1996', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
19,['Map'],['VA0000954887 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 5W, 1995; Sanborn fire insurance map.']","['Boston, Mass. : vol. 5-W.']",['Boston'],['Rev. Apr. 1995.'],['4 p.'],"['Sanborn Library, LLC']",['1995'],['1995-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 5-W.']","['Sanborn map, Boston, Mass., vol. 5W, 1995', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
20,['Map'],['VA0000954892 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 5W, 1994; Sanborn fire insurance map.']","['Boston, Mass. : vol. 5-W.']",['Boston'],['Rev. Apr. 1994.'],['4 p.'],"['Sanborn Library, LLC']",['1994'],['1994-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 5-W.']","['Sanborn map, Boston, Mass., vol. 5W, 1994', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
21,['Map'],['VA0000954891 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 5W, 1993; Sanborn fire insurance map.']","['Boston, Mass. : vol. 5-W.']",['Boston'],['Rev. Apr. 1993.'],['5 p.'],"['Sanborn Library, LLC']",['1993'],['1993-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 5-W.']","['Sanborn map, Boston, Mass., vol. 5W, 1993', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
22,['Map'],['VA0000967715 / 1999-05-20 '],"['Sanborn map, Boston, MA, vol. 5W, 1990; Sanborn fire insurance map.']","['Boston, Mass. : vol. 5-W.']",['Boston'],['Rev. Apr. 1990.'],['Map.'],"['Sanborn Library, LLC']",['1990'],['1990-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 5-W.']","['Sanborn map, Boston, MA, vol. 5W, 1990', 'Sanborn fire insurance map.', 'Boston, MA, vol. 5W, 1990']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
23,['Map'],['VA0001078414 / 1999-09-16 '],['Sanborn fire insurance map.'],"['Boston, Mass. : vol. 5E.']",['Boston'],[],['Map.'],"['Sanborn Library, LLC']",['1993'],['1993-05-01  '],"['Sanborn Map Company, Inc., employer for hire.']",['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 5E.']",['Sanborn fire insurance map.'],"['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
24,['Map'],['VA0000967714 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 6, 1996; Sanborn fire insurance map.']","['Boston, Mass. : vol. 6.']",['Boston'],['Rev. Apr. 1996.'],['Map.'],"['Sanborn Library, LLC']",['1996'],['1996-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 6.']","['Sanborn map, Boston, Mass., vol. 6, 1996', 'Sanborn fire insurance map.', 'Boston, Mass., vol. 6, 1996']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
25,['Map'],['VA0000954882 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 6, 1995; Sanborn fire insurance map.']","['Boston, Mass. : vol. 6.']",['Boston'],['Rev. Apr. 1995.'],['4 p.'],"['Sanborn Library, LLC']",['1995'],['1995-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 6.']","['Sanborn map, Boston, Mass., vol. 6, 1995', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
26,['Map'],['VA0000954881 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 6, 1994; Sanborn fire insurance map.']","['Boston, Mass. : vol. 6.']",['Boston'],['Rev. Apr. 1994.'],['4 p.'],"['Sanborn Library, LLC']",['1994'],['1994-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 6.']","['Sanborn map, Boston, Mass., vol. 6, 1994', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
27,['Map'],['VA0000954885 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 7, 1994; Sanborn fire insurance map.']","['Boston, Mass. : vol. 7.']",['Boston'],['Rev. Apr. 1994.'],['4 p.'],"['Sanborn Library, LLC']",['1994'],['1994-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 7.']","['Sanborn map, Boston, Mass., vol. 7, 1994', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
28,['Map'],['VA0000967724 / 1999-05-20 '],"['Sanborn map, Boston, Mass., volume 7, 1993; Sanborn fire insurance map.']","['Boston, Mass. : vol. 7.']",['Boston'],['Rev. Apr. 1993.'],['Map.'],"['Sanborn Library, LLC']",['1993'],['1993-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 7.']","['Sanborn map, Boston, Mass., volume 7, 1993', 'Sanborn fire insurance map.', 'Boston, Mass., volume 7, 1993']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
29,['Map'],['VA0000954897 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 7, 1990; Sanborn fire insurance map.']","['Boston, Mass. : vol. 7.']",['Boston'],['Rev. Apr. 1990.'],['4 p.'],"['Sanborn Library, LLC']",['1990'],['1990-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 7.']","['Sanborn map, Boston, Mass., vol. 7, 1990', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
30,['Map'],['VA0000992581 / 2000-02-11 '],[],"['Boston, Mass. : vol. 7.']",['Boston'],['Rev. April 1989.'],[],"['Sanborn Map Company, Inc.']",['1989'],['1989-06-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 7']",[],"['Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
31,['Map'],['VA0000967727 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 8, 1995; Sanborn fire insurance map.']","['Boston, Mass. : vol. 8.']",['Boston'],['Rev. Apr. 1995.'],['Map.'],"['Sanborn Library, LLC']",['1995'],['1995-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 8.']","['Sanborn map, Boston, Mass., vol. 8, 1995', 'Sanborn fire insurance map.', 'Boston, Mass., vol. 8, 1995']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
32,['Map'],['VA0000967730 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 8, 1994; Sanborn fire insurance map.']","['Boston, Mass. : vol. 8.']",['Boston'],['Rev. Apr. 1994.'],['Map.'],"['Sanborn Library, LLC']",['1994'],['1994-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 8.']","['Sanborn map, Boston, Mass., vol. 8, 1994', 'Sanborn fire insurance map.', 'Boston, Mass., vol. 8, 1994']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
33,['Map'],['VA0000967729 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 8, 1993; Sanborn fire insurance map.']","['Boston, Mass. : vol. 8.']",['Boston'],['Rev. Apr. 1993.'],['Map.'],"['Sanborn Library, LLC']",['1993'],['1993-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 8.']","['Sanborn map, Boston, Mass., vol. 8, 1993', 'Sanborn fire insurance map.', 'Boston, Mass., vol. 8, 1993']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
34,['Map'],['VA0000954886 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 9, 1995; Sanborn fire insurance map.']","['Boston, Mass. : vol. 9.']",['Boston'],['Rev. Apr. 1995.'],['4 p.'],"['Sanborn Library, LLC']",['1995'],['1995-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 9.']","['Sanborn map, Boston, Mass., vol. 9, 1995', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
35,['Map'],['VA0000967713 / 1999-05-20 '],"['Sanborn map, Boston, Mass., vol. 9, 1994; Sanborn fire insurance map.']","['Boston, Mass. : vol. 9.']",['Boston'],['Rev. Apr. 1994.'],['Map.'],"['Sanborn Library, LLC']",['1994'],['1994-04-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Mass. : vol. 9.']","['Sanborn map, Boston, Mass., vol. 9, 1994', 'Sanborn fire insurance map.', 'Boston, Mass., vol. 9, 1994']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
36,['Map'],['VA0000954933 / 1999-05-20 '],"['Sanborn map, Boston, MA, vol. 25, 1994; Sanborn fire insurance map.']","['Boston, Massachusett : vol. 25.']",['Boston'],['Rev. Nov. 1994.'],['3 p.'],"['Sanborn Library, LLC']",['1994'],['1994-11-01  '],"['map & technical drawing: Sanborn Map Company, Inc.']",['Prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Massachusett : vol. 25']","['Sanborn map, Boston, MA, vol. 25, 1994', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
37,['Map'],['VA0000967685 / 1999-05-20 '],['Sanborn fire insurance map.'],"['Boston, Massachusetts : vol. 10, 1996.']",['Boston'],[],['Map.'],"['Sanborn Library, LLC']",['1996'],['1996-04-01  '],"['map drawing: Sanborn Map Company, Inc.']",['Appl. identifies prev. pub. map versions as preexisting material.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Massachusetts : vol. 10, 1996']",['Sanborn fire insurance map.'],"['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
38,['Map'],['VA0000967697 / 1999-05-20 '],['Sanborn fire insurance map.'],"['Boston, Massachusetts : vol. 3, 1990.']",['Boston'],[],['Map.'],"['Sanborn Library, LLC']",['1990'],['1990-10-01  '],"['map drawing: Sanborn Map Company, Inc.']",['Appl. identifies prev. pub. map versions as preexisting material.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Massachusetts : vol. 3, 1990.']",['Sanborn fire insurance map.'],"['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
39,['Map'],['VA0000967701 / 1999-05-20 '],['Sanborn fire insurance map.'],"['Boston, Massachusetts : vol. 4, 1990.']",['Boston'],[],['Map.'],"['Sanborn Library, LLC']",['1990'],['1990-01-01  '],"['map drawing: Sanborn Map Company, Inc.']",['Appl. identifies prev. pub. map versions as preexisting material.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Massachusetts : vol. 4, 1990.']",['Sanborn fire insurance map.'],"['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
40,['Map'],['VA0000967704 / 1999-05-20 '],['Sanborn fire insurance map.'],"['Boston, Massachusetts : vol. 6, 1993.']",['Boston'],[],['Map.'],"['Sanborn Library, LLC']",['1993'],['1993-04-01  '],"['map drawing: Sanborn Map Company, Inc.']",['Appl. identifies prev. pub. map versions as preexisting material.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Massachusetts : vol. 6, 1993.']",['Sanborn fire insurance map.'],"['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
41,['Map'],['VA0000967699 / 1999-05-20 '],['Sanborn fire insurance map.'],"['Boston, Massachusetts : vol. 7, 1995.']",['Boston'],[],['Map.'],"['Sanborn Library, LLC']",['1995'],['1995-04-01  '],"['map drawing: Sanborn Map Company, Inc.']",['Appl. identifies prev. pub. map versions as preexisting material.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Massachusetts : vol. 7, 1995.']",['Sanborn fire insurance map.'],"['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
42,['Map'],['VA0000967703 / 1999-05-20 '],['Sanborn fire insurance map.'],"['Boston, Massachusetts : vol. 7, 1996.']",['Boston'],[],['Map.'],"['Sanborn Library, LLC']",['1996'],['1996-04-01  '],"['map drawing: Sanborn Map Company, Inc.']",['Appl. identifies prev. pub. map versions as preexisting material.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Massachusetts : vol. 7, 1996.']",['Sanborn fire insurance map.'],"['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
43,['Map'],['VA0000967700 / 1999-05-20 '],['Sanborn fire insurance map.'],"['Boston, Massachusetts : vol. 8, 1990.']",['Boston'],[],['Map.'],"['Sanborn Library, LLC']",['1990'],['1990-05-01  '],"['map drawing: Sanborn Map Company, Inc.']",['Appl. identifies prev. pub. map versions as preexisting material.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Boston, Massachusetts : vol. 8, 1990.']",['Sanborn fire insurance map.'],"['Sanborn Library, LLC', 'Sanborn Map Company, Inc.']",[],[],[],[],[],[],[]
