,Type of Work:,Registration Number / Date:,Title:,Copyright Claimant:,Basis of Claim:,Variant title:,Other Title:,Names:,Copyright Note:,Area Covered:,Edition:,Description:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Notes:,Application Title:,Series:,Imprint:,Date in Notice:
15,['Text'],"['RE0000752640 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1964-01-01  ']","['Sanborn Map Salisburg, Maryland 1964.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Salisburg, Maryland 1964.']","['Salisburg, Maryland 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
16,['Text'],"['RE0000752232 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1966-06-01  ']","['Sanborn Map Salisburg, North Carolina 1966.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Salisburg, North Carolina 1966.']","['Salisburg, North Carolina 1966']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
17,['Text'],"['RE0000761768 / 1997-05-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan64  ']","['Sanborn Map San Antonio, Texas 1964.  Vol. 1.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Antonio, Texas 1964.']","['San Antonio, Texas 1964']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[],[]
18,['Text'],"['RE0000752595 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1969-03-01  ']","['Sanborn Map San Bernardino, California 1969.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Bernardino, California 1969.']","['San Bernardino, California 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
19,['Text'],"['RE0000752606 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1968-01-01  ']","['Sanborn Map San Buenaventura, California 1968.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Buenaventura, California 1968.']","['San Buenaventura, California 1968']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
20,['Text'],"['RE0000752996 / 1997-04-16 ', 'Renewal registration for: Not reg.: addendum submitted under PL 102-307 / *PUB approx. 1Jan68  ']","['Sanborn Map San Carlos, California 1968.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Carlos, California 1968.']","['San Carlos, California 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
21,['Text'],"['RE0000752427 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1965-08-01  ']","['Sanborn Map San Diego, California 1965.  Vols. 1, 1A, 2-5.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Diego, California 1965.']","['San Diego, California 1965']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
22,['Text'],"['RE0000752428 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1965-12-01  ']","['Sanborn Map San Francisco, California 1965.  Vol. 7.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Francisco, California 1965.']",['San Francisco California 1965'],"['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
23,['Text'],"['RE0000752423 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1966-01-01  ']","['Sanborn Map San Jose, California 1966.  Vols. 2 & 3.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Jose, California 1966.']","['San Jose, California 1966']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
24,['Text'],"['RE0000752629 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1968-03-01  ']","['Sanborn Map San Leandro, California 1968.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Leandro, California 1968.']","['San Leandro, California 1968']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
25,['Text'],"['RE0000752997 / 1997-04-16 ', 'Renewal registration for: Not reg.: addendum submitted under PL 102-307 / *PUB approx. 1Mar69  ']","['Sanborn Map San Mateo, California 1969.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map San Mateo, California 1969.']","['San Mateo, California 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
26,['Text'],"['RE0000754376 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan68  ']","['Sanborn Map Sandusky, Ohio 1968.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Sandusky, Ohio 1968']","['Sandusky, Ohio 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
27,['Text'],"['RE0000752197 / 1997-04-29 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1964-01-01  ']","['Sanborn Map Sanford, Maine 1964.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Sanford, Maine 1964']","['Sanford, Maine 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
28,['Text'],"['RE0000754343 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Feb69  ']","['Sanborn Map Santa Ana, California 1969.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Santa Ana, California 1969']","['Santa Ana, California 1969']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
29,['Text'],"['RE0000752422 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1969-10-01  ']","['Sanborn Map Santa Barbara, California 1969.  Vol. 1.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Santa Barbara, California 1969.']","['Santa Barbara, California 1969']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
30,['Text'],"['RE0000752995 / 1997-04-16 ', 'Renewal registration for: Not reg.: addendum submitted under PL 102-307 / *PUB approx. 1Feb66  ']","['Sanborn Map Santa Cruz, California 1966.  Vol. 2.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Santa Cruz, California 1966.']","['Santa Cruz, California 1966']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
31,['Text'],"['RE0000754298 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan65  ']","['Sanborn Map Santa Monica, California 1965.  Vols. N & S.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Santa Monica, California 1965.']","['Santa Monica, California 1965']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
32,['Text'],"['RE0000751402 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan69  ']","['Sanborn map Santa Rosa, California, 1969.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revision.'],"['Sanborn map Santa Rosa, California, 1969.']","['Santa Rosa, California, 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
33,['Text'],"['RE0000752855 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1965-01-01  ']","['Sanborn map Sarasota, Florida, 1965.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: additions & revisions.'],"['Sanborn map Sarasota, Florida, 1965']",['Sanborn Map Company'],"['EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
34,['Text'],"['RE0000751387 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan69  ']","['Sanborn map Saugus, Massachusetts, 1969.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic revisions & additions.'],"['Sanborn map Saugus, Massachusetts, 1969.']","['Saugus, Massachusetts, 1969']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
35,['Text'],"['RE0000754301 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan65  ']","['Sanborn Map Savanac Lake, New York 1965.  By Sanborn Map Company.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Savanac Lake, New York 1965.']","['Savanac Lake, New York 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
36,['Text'],"['RE0000793933 / 1998-12-08 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan66  ']","['Sanborn Map Savannah, GA.  Vol. 3.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Savannah, GA.']","['Savannah,GA']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
37,['Text'],"['RE0000758434 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan66  ']","['Sanborn Map Savannah, Georgia 1966.  Vols. 2-4.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Savannah, Georgia 1966']","['Savannah, Georgia 1966']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[],[]
38,['Text'],"['RE0000754302 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan64  ']","['Sanborn Map Sayville, New York 1964.  By Sanborn Map Company.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Sayville, New York 1964.']","['Sayville, New York 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
39,['Text'],"['RE0000754303 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jul64  ']","['Sanborn Map Scotia, New York 1964.  By Sanborn Map Company.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Scotia, New York 1964.']","['Scotia, New York 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
40,['Text'],"['RE0000754426 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan65  ']","['Sanborn Map Scranton, Pennsylvania 1965.  Vol. 3.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Scranton, Pennsylvania 1965']","['Scranton, Pennsylvania 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
41,['Text'],"['RE0000754304 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan65  ']","['Sanborn Map Seaford, New York 1965.  By Sanborn Map Company.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Seaford, New York 1965.']","['Seaford, New York 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
42,['Text'],"['RE0000761797 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PA0000102307 / *PUB approx. 1Jan66  ']","['Sanborn Map Seattle, Washington 1966.  Vol. 10, 11, 13.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Seattle, Washington 1966.']","['Seattle, Washington 1966']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[],[]
43,['Text'],"['RE0000754422 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jul65  ']","['Sanborn Map Shamokin, Pennsylvania 1965.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Shamokin, Pennsylvania 1965']","['Shamokin, Pennsylvania 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
44,['Text'],"['RE0000754412 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan64  ']","['Sanborn Map Sharon, Pennsylvania 1964.  Vols. 1-2.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Sharon, Pennsylvania 1964']","['Sharon, Pennsylvania 1964']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
45,['Text'],"['RE0000755285 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Nov67  ']","['Sanborn Map Shawnee, Oklahoma 1967.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Shawnee, Oklahoma 1967.']","['Shawnee, Oklahoma 1967']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
46,['Text'],"['RE0000752822 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB approx. 1Aug66  ']","['Sanborn map, Sheboygan, Wisconsin.  Vol. 2, 1966.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map, Sheboygan, Wisconsin']","['Sheboygan, Wisconsin']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
47,['Text'],"['RE0000752624 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1965-06-01  ']","['Sanborn Map Shelton, Connecticut 1965.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Shelton, Connecticut 1965.']","['Shelton, Connecticut 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
48,['Text'],"['RE0000755255 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Oct69  ']","['Sanborn Map Sherman, Texas 1969.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Sherman, Texas 1969']","['Sherman, Texas 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
49,['Text'],"['RE0000793930 / 1998-12-08 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan69  ']","['Sanborn Map Shreveport, LA.  Vol. 1.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Shreveport, LA.']","['Shreveport, LA']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
50,['Text'],"['RE0000793929 / 1998-12-08 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan64  ']","['Sanborn Map Shreveport, LA.  Vol. 3.  By Sanborn Map Company, Inc.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Shreveport, LA.']","['Shreveport, LA']","['Sanborn Map Company, Inc.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
51,['Text'],"['RE0000752835 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB approx. 1Jan64  ']","['Sanborn map, Shreveport, Louisiana.  Vol. 2-3, 1964.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn map, Shreveport, Louisiana']","['Shreveport, Louisiana']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
52,['Text'],"['RE0000761798 / 1997-09-09 ', 'Renewal registration for: Not reg.; addendum submitted under PA0000102307 / *PUB approx. 1Jan68  ']","['Sanborn Map Sioux City, Iowa 1968.  Vol. 1.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Sioux City, Iowa 1968.']","['Sioux City, Iowa 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",['C.O. correspondence.'],[],[],[],[],[],[],[],[],[],[],[],[]
53,['Text'],"['RE0000754330 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Aug65  ']","['Sanborn Map Somersworth, New Hampshire 1965.  By Sanborn Map Company.']","['EDR Sanborn, Inc.  (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map Somersworth, New Hampshire 1965']","['Somersworth, New Hampshire 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
54,['Text'],"['RE0000755266 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan68  ']","['Sanborn Map South Orange, New Jersey 1968.  By Sanborn Map Company.']","['EDR Sanborn, Inc. (PWH)']",['New Matter: new cartographic additions & revisions.'],"['Sanborn Map South Orange, New Jersey 1968']","['South Orange, New Jersey 1968']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[],[],[],[],[],[],[],[],[],[]
